treat,vs_12_update,vg_12_update,yearssincereg,hhinc,age,female,asian,black,latino,mideastern,nativeamer,d_miss_age,d_miss_hhinc,d_miss_gender,d_miss_race
0,0,0,7.5893226,46,38,1,0,0,0,1,0,0,0,0,0
0,0,0,3.671458,48,57,1,0,0,0,0,0,0,0,0,0
0,0,1,7.8466802,64,-999,1,1,0,0,0,0,1,0,0,0
1,0,0,19.586584,69,55,1,0,0,0,0,0,0,0,0,0
1,0,1,23.624914,60,62,1,0,0,0,0,0,0,0,0,0
1,1,1,3.5838466,86,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,5.577002,35,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,.8240931,67,37,-999,1,0,0,0,0,0,0,1,0
0,0,1,4.2929502,48,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,1.3634497,77,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,3.5838466,72,-999,1,0,0,0,0,0,1,0,0,0
1,1,1,.17248461,36,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,7.5893226,43,-999,-999,1,0,0,0,0,1,0,1,0
0,0,1,4.1423683,54,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,1.1690623,33,42,1,0,0,0,0,0,0,0,0,0
0,0,0,,80,62,1,0,0,0,0,0,0,0,0,0
1,1,1,3.6577687,57,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,4.2929502,40,70,1,0,0,0,0,0,0,0,0,0
0,0,1,3.7316906,21,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,7.7234769,72,30,1,0,0,0,0,0,0,0,0,0
0,0,0,3.5838466,35,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,94.425735,53,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,8.2984257,46,-999,0,0,0,1,0,0,1,0,0,0
0,0,0,12.427105,71,53,1,0,0,0,0,0,0,0,0,0
0,0,0,8.2984257,54,82,1,0,0,0,0,1,0,0,0,0
1,0,0,3.5838466,37,41,1,0,0,0,0,0,0,0,0,0
0,0,0,3.5865846,36,26,0,0,0,1,0,0,0,0,0,0
1,1,1,3.5838466,76,-999,1,0,0,0,0,0,1,0,0,0
1,0,1,4.2929502,46,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,5.577002,48,-999,1,0,0,0,0,0,1,0,0,0
0,0,0,3.5838466,38,-999,1,0,0,0,0,0,1,0,0,0
0,1,1,3.5838466,48,-999,1,0,0,0,0,0,1,0,0,0
1,0,0,7.5893226,71,58,1,0,0,0,0,0,0,0,0,0
1,1,1,3.6386037,48,-999,1,0,0,0,0,0,1,0,0,0
