treat,vs_12_update,vg_12_update,yearssincereg,age,hhinc,female,asian,black,latino,mideastern,nativeamer,d_miss_race,d_miss_age,d_miss_hhinc,d_miss_gender,township_id,milwaukee
0,0,1,3.5865846,66,112,1,0,0,1,0,0,0,0,0,0,753,0
1,1,1,1.8973306,48,47,0,0,0,1,0,0,0,0,0,0,287,0
0,0,1,1.8973306,-999,53,1,0,0,0,0,0,0,1,0,0,287,0
1,1,1,.17248461,46,76,1,0,0,0,0,0,0,0,0,0,99,0
1,1,1,.17248461,37,60,0,0,0,1,0,0,0,0,0,0,817,0
1,0,0,4.3121152,65,72,1,0,0,0,0,0,0,0,0,0,872,0
1,0,0,3.5838466,35,51,0,0,0,1,0,0,0,0,0,0,152,0
1,0,0,4.0383301,-999,40,1,0,1,0,0,0,0,1,0,0,87,1
0,1,1,3.8412046,48,14,0,0,0,1,0,0,0,0,0,0,87,1
0,0,0,3.9644079,-999,21,-999,0,1,0,0,0,0,1,0,1,87,1
0,1,1,.51197809,59,58,1,0,0,0,0,0,0,0,0,0,87,1
0,0,1,4.0766597,-999,31,1,0,1,0,0,0,0,1,0,0,87,1
1,0,0,4.0958247,65,25,0,0,1,0,0,0,0,0,0,0,87,1
0,0,0,3.9452429,27,26,1,0,1,0,0,0,0,0,0,0,87,1
0,0,0,3.9123888,73,25,1,0,1,0,0,0,0,0,0,0,87,1
0,1,1,4.019165,-999,23,1,0,1,0,0,0,0,1,0,0,87,1
1,0,0,4.2327175,76,30,0,0,1,0,0,0,0,0,0,0,87,1
1,0,0,3.9890485,21,36,0,0,1,0,0,0,0,0,0,0,87,1
0,0,0,4.2327175,45,56,1,0,0,0,0,0,0,0,0,0,87,1
1,0,0,3.6577687,-999,12,1,0,1,0,0,0,0,1,0,0,87,1
1,1,1,.34223136,-999,35,1,0,0,0,0,0,0,1,0,0,87,1
1,0,0,3.66872,67,38,1,0,0,0,0,0,0,0,0,0,87,1
1,0,1,3.8986995,-999,33,-999,0,0,1,0,0,0,1,0,1,136,0
1,0,0,2.8720055,50,36,0,0,0,1,0,0,0,0,0,0,87,1
1,0,0,3.7262149,-999,31,1,0,0,0,0,0,0,1,0,0,87,1
0,1,1,.17248461,-999,39,1,0,0,0,0,0,0,1,0,0,87,1
0,0,0,4.2327175,-999,38,1,0,0,0,0,0,0,1,0,0,87,1
0,1,0,3.6906228,42,14,1,0,1,0,0,0,0,0,0,0,87,1
1,1,1,.15058179,-999,40,1,0,0,0,0,0,0,1,0,0,87,1
1,0,0,4.2327175,70,37,1,0,1,0,0,0,0,0,0,0,87,1
1,0,0,.18891171,65,38,1,0,0,0,0,0,0,0,0,0,87,1
0,0,1,4.0930867,51,29,1,0,0,0,0,0,0,0,0,0,87,1
0,0,1,3.6605065,54,33,1,0,0,1,0,0,0,0,0,0,87,1
1,1,1,1.1882273,66,33,0,0,1,0,0,0,0,0,0,0,87,1
1,0,0,3.8466804,60,43,1,0,0,0,0,0,0,0,0,0,87,1
0,0,1,.19164956,66,38,1,0,0,0,0,0,0,0,0,0,87,1
0,0,0,4.238193,-999,65,1,0,0,0,0,0,0,1,0,0,157,0
1,1,1,4.0054755,-999,40,1,0,0,0,0,0,0,1,0,0,87,1
0,0,0,.55578369,-999,48,1,0,0,1,0,0,0,1,0,0,700,0
1,0,1,3.7234771,46,39,1,0,1,0,0,0,0,0,0,0,87,1
0,1,0,3.7125256,46,57,1,0,0,0,0,0,0,0,0,0,87,1
1,1,1,4.2327175,-999,17,1,0,1,0,0,0,0,1,0,0,87,1
1,0,0,3.9616702,55,37,1,0,0,1,0,0,0,0,0,0,87,1
1,1,1,.22724162,49,55,1,0,0,0,0,0,0,0,0,0,158,0
1,0,1,.34770706,73,36,1,0,0,1,0,0,0,0,0,0,796,0
1,0,0,3.7180014,92,22,1,0,0,0,0,0,0,0,0,0,122,0
1,0,0,.26557153,56,50,1,0,0,0,0,0,0,0,0,0,122,0
1,1,0,3.778234,25,44,1,0,0,1,0,0,0,0,0,0,122,0
0,0,0,4.2327175,81,51,1,0,0,0,0,0,0,0,0,0,12,0
0,1,0,3.7015743,44,25,1,0,1,0,0,0,0,0,0,0,12,0
0,1,1,.17248461,55,44,1,0,0,0,0,0,0,0,0,0,12,0
1,0,1,4.2628336,43,60,1,0,0,0,0,0,0,0,0,0,74,0
0,1,0,2.5626283,53,36,1,0,0,0,0,0,0,0,0,0,32,0
0,0,0,2.5626283,83,32,1,0,0,0,0,0,0,0,0,0,32,0
0,0,0,.21355236,62,43,1,0,0,0,0,0,0,0,0,0,40,0
1,1,0,.17248461,48,51,1,0,0,0,0,0,0,0,0,0,464,0
1,0,1,4.5092402,41,61,1,0,0,0,0,0,0,0,0,0,60,0
1,0,1,.16974674,-999,68,0,1,0,0,0,0,0,1,0,0,60,0
1,1,0,1.6071184,60,60,0,0,0,1,0,0,0,0,0,0,85,0
1,0,1,.18617386,83,47,1,0,0,0,0,0,0,0,0,0,808,0
1,0,0,3.7234771,72,30,1,0,0,0,0,0,0,0,0,0,527,0
1,1,1,.22176592,37,83,1,0,0,1,0,0,0,0,0,0,443,0
1,0,0,4.2573581,48,63,1,0,0,0,0,0,0,0,0,0,593,0
0,0,0,4.0766597,51,61,1,0,0,0,0,0,0,0,0,0,90,0
0,1,1,.13141684,65,49,0,0,0,0,1,0,0,0,0,0,74,0
0,0,0,3.9780972,75,63,1,0,0,0,0,0,0,0,0,0,74,0
1,1,0,4.2984257,32,46,1,0,0,0,0,0,0,0,0,0,700,0
0,0,1,3.7180014,-999,17,1,0,0,0,0,0,0,1,0,0,74,0
1,1,1,3.9260781,53,26,0,0,1,0,0,0,0,0,0,0,74,0
1,0,0,1.779603,83,28,1,0,0,0,0,0,0,0,0,0,74,0
0,1,1,.36139631,-999,46,1,0,0,1,0,0,0,1,0,0,74,0
0,0,0,.74743325,41,31,1,0,0,0,0,0,0,0,0,0,164,0
0,0,1,.26830938,57,41,1,0,0,0,0,0,0,0,0,0,11,0
1,1,0,.17248461,38,48,1,0,0,0,0,0,0,0,0,0,665,0
1,0,0,4.2628336,67,61,1,0,0,0,0,0,0,0,0,0,74,0
0,0,0,3.6386037,68,44,1,0,0,0,0,0,0,0,0,0,737,0
0,0,0,3.6659822,48,35,1,0,0,0,0,0,0,0,0,0,75,0
1,0,1,.28199863,43,30,0,1,0,0,0,0,0,0,0,0,148,0
0,0,0,.17248461,48,31,1,0,0,0,0,0,0,0,0,0,51,0
0,0,0,4.2956877,25,66,1,0,0,0,0,0,0,0,0,0,684,0
1,0,0,3.7125256,43,50,1,0,0,0,0,0,0,0,0,0,239,0
1,0,0,3.6386037,69,29,1,0,0,1,0,0,0,0,0,0,51,0
1,0,1,4.0082135,73,44,1,0,0,0,0,0,0,0,0,0,155,0
0,0,1,3.9425051,-999,49,1,0,0,0,0,0,0,1,0,0,366,0
0,0,0,4.019165,50,43,1,0,0,0,0,0,0,0,0,0,338,0
0,0,0,4.5804243,48,49,1,0,0,0,0,0,0,0,0,0,159,0
0,0,0,3.6413414,36,26,1,0,0,0,0,0,0,0,0,0,114,0
0,0,0,3.7234771,65,44,1,0,0,0,0,0,0,0,0,0,238,0
1,0,0,.17248461,-999,27,1,0,0,0,0,0,0,1,0,0,68,0
0,0,1,3.9671457,65,40,1,0,0,0,0,0,0,0,0,0,14,0
0,0,1,4.0848732,46,41,1,0,0,0,0,0,0,0,0,0,188,0
1,0,0,3.7180014,-999,46,1,0,0,0,0,0,0,1,0,0,778,0
0,0,0,3.9644079,61,32,1,0,0,0,0,0,0,0,0,0,39,0
1,0,0,4.0848732,-999,36,1,0,0,0,0,0,0,1,0,0,39,0
1,0,0,4.2956877,77,43,1,0,0,0,0,0,0,0,0,0,4,0
0,0,1,3.5865846,58,32,1,0,0,0,0,0,0,0,0,0,24,0
0,0,0,2.7214236,88,27,1,0,0,0,0,0,0,0,0,0,82,0
1,1,1,.20807666,-999,37,1,0,0,0,0,0,0,1,0,0,853,0
0,1,1,.44079399,61,14,1,0,0,0,0,0,0,0,0,0,9,0
0,0,0,4.3121152,72,41,1,0,0,0,0,0,0,0,0,0,174,0
0,0,1,3.7125256,35,27,1,0,0,0,0,0,0,0,0,0,10,0
1,0,0,3.6577687,49,35,1,0,0,0,0,0,0,0,0,0,752,0
1,0,0,3.7015743,46,34,1,0,0,0,0,0,0,0,0,0,68,0
0,0,1,3.6386037,62,34,1,0,0,0,0,0,0,0,0,0,207,0
1,0,0,4.0793977,89,29,1,0,0,0,0,0,0,0,0,0,134,0
1,0,0,3.5838466,-999,36,1,0,0,0,0,0,0,1,0,0,224,0
1,0,0,4.0793977,42,30,1,0,0,0,0,0,0,0,0,0,547,0
0,0,0,4.0082135,95,28,1,0,0,0,0,0,0,0,0,0,144,0
0,0,0,2.3709788,48,61,1,0,0,1,0,0,0,0,0,0,350,0
0,0,0,3.66872,57,45,1,0,0,1,0,0,0,0,0,0,276,0
1,1,1,.13141684,70,43,1,0,0,0,0,0,0,0,0,0,44,0
1,1,1,.29295003,47,50,1,0,0,0,0,0,0,0,0,0,237,0
0,0,1,3.6577687,69,31,1,0,0,0,0,0,0,0,0,0,81,0
1,1,1,.22997947,51,74,0,0,0,0,1,0,0,0,0,0,19,0
0,0,0,3.5865846,42,56,0,1,0,0,0,0,0,0,0,0,85,0
1,0,0,4.2929502,57,24,1,0,0,0,0,0,0,0,0,0,35,0
1,0,1,3.6386037,33,61,1,0,0,0,0,0,0,0,0,0,7,0
1,0,1,.13415469,90,45,1,0,0,0,0,0,0,0,0,0,74,0
1,0,0,3.9780972,-999,29,1,0,0,0,0,0,0,1,0,0,74,0
1,0,0,4.2327175,-999,38,1,0,0,0,0,0,0,1,0,0,79,0
1,1,1,4.2135525,-999,70,1,0,0,0,0,0,0,1,0,0,402,0
0,0,0,4.2272415,41,65,1,0,0,0,0,0,0,0,0,0,402,0
1,0,1,.55304587,-999,40,0,0,0,1,0,0,0,1,0,0,122,0
1,1,1,.16974674,39,43,0,0,0,1,0,0,0,0,0,0,12,0
0,1,1,.22176592,53,31,1,0,0,0,0,0,0,0,0,0,154,0
1,1,0,.22724162,-999,31,1,0,0,0,0,0,0,1,0,0,158,0
1,0,1,3.6413414,-999,26,1,0,0,1,0,0,0,1,0,0,87,1
1,1,0,3.6550307,61,49,1,0,0,0,0,0,0,0,0,0,563,0
0,0,0,3.6440794,-999,49,1,0,0,1,0,0,0,1,0,0,74,0
1,1,1,3.6358659,-999,60,1,0,0,0,0,0,0,1,0,0,337,0
0,1,0,3.6386037,42,48,1,0,0,0,0,0,0,0,0,0,132,0
0,0,0,3.7180014,-999,22,1,0,1,0,0,0,0,1,0,0,87,1
1,0,1,3.9671457,-999,26,-999,0,1,0,0,0,0,1,0,1,87,1
0,0,1,1.6454483,67,38,1,0,0,0,0,0,0,0,0,0,39,0
0,0,0,3.980835,68,46,1,0,0,0,0,0,0,0,0,0,113,0
1,1,0,4.2327175,29,36,1,1,0,0,0,0,0,0,0,0,87,1
1,0,1,.17248461,-999,29,1,0,0,0,1,0,0,1,0,0,87,1
1,0,1,2.6420259,-999,45,-999,1,0,0,0,0,0,1,0,1,74,0
0,0,1,3.9452429,35,20,1,0,1,0,0,0,0,0,0,0,87,1
1,1,1,3.890486,30,50,1,0,0,1,0,0,0,0,0,0,87,1
0,0,1,.59685147,-999,38,-999,0,1,0,0,0,0,1,0,1,87,1
0,0,0,3.9890485,-999,39,1,0,0,0,0,0,0,1,0,0,603,0
1,1,0,.19438741,-999,44,1,0,0,0,0,0,0,1,0,0,26,0
0,1,1,2.4695413,-999,43,-999,1,0,0,0,0,0,1,0,1,87,1
0,0,1,4.016427,55,35,1,0,0,0,0,0,0,0,0,0,82,0
1,1,1,.17248461,-999,37,1,0,0,0,0,0,0,1,0,0,87,1
1,0,0,1.54141,-999,75,0,1,0,0,0,0,0,1,0,0,152,0
