"treat","vs_12_update","vg_12_update","yearssincereg","post08reg","age_corrected","d_miss_age","hhinc_corrected","d_miss_hhinc","female","d_miss_gender","asian","black","latino","mideastern","nativeamer","d_miss_race","township_id","milwaukee"
0,0,0,3.83299112319946,0,50,0,33,0,0,0,0,1,0,0,0,0,87,1
1,0,0,3.58384656906128,1,20,0,34,0,0,0,0,1,0,0,0,0,87,1
1,0,0,3.6440794467926,0,0,1,38,0,0,0,0,1,0,0,0,0,87,1
1,0,0,3.58384656906128,1,67,0,33,0,0,0,0,1,0,0,0,0,87,1
0,0,0,3.92607808113098,0,0,1,0,1,0,0,0,1,0,0,0,0,87,1
1,0,0,0.17248460650444,1,64,0,75,0,1,0,0,0,0,0,0,0,152,0
0,0,0,0.344969213008881,1,0,1,0,1,0,0,0,1,0,0,0,0,87,1
0,0,0,4.29295015335083,0,0,1,16,0,1,0,0,1,0,0,0,0,87,1
1,0,0,4.29295015335083,0,0,1,27,0,0,0,0,1,0,0,0,0,87,1
0,0,0,3.58384656906128,1,0,1,33,0,1,0,0,1,0,0,0,0,87,1
0,0,0,3.73442840576172,0,0,1,28,0,1,0,0,1,0,0,0,0,87,1
1,0,0,4.39151287078857,0,53,0,28,0,1,0,0,0,0,0,0,0,87,1
1,0,0,3.80561256408691,0,0,1,32,0,1,0,0,0,0,0,0,0,87,1
0,1,1,0.591375768184662,1,0,1,0,1,0,1,0,1,0,0,0,0,87,1
0,0,0,0.607802867889404,1,0,1,0,1,1,0,0,1,0,0,0,0,87,1
1,1,1,0.17248460650444,1,0,1,17,0,0,0,0,1,0,0,0,0,87,1
0,0,0,3.6960985660553,0,0,1,34,0,0,0,0,1,0,0,0,0,87,1
1,0,0,5.09787797927856,0,0,1,23,0,1,0,0,0,0,0,0,0,111,0
0,0,0,3.44695425033569,1,0,1,53,0,1,0,0,0,0,1,0,0,843,0
1,1,1,0.17248460650444,1,0,1,30,0,1,0,0,0,0,0,0,0,218,0
1,0,0,3.72073912620544,0,71,0,32,0,1,0,0,0,0,0,0,0,199,0
1,0,1,3.61670088768005,0,0,1,47,0,1,0,0,0,0,0,0,0,21,0
1,0,0,5.286789894104,0,0,1,59,0,1,0,0,0,0,0,0,0,12,0
1,1,1,0.23271732032299,1,56,0,48,0,0,0,0,0,1,0,0,0,670,0
0,1,1,0.213552355766296,1,0,1,0,1,0,0,0,0,1,0,0,0,4,0
1,0,1,0.23271732032299,1,0,1,38,0,0,0,0,1,0,0,0,0,87,1
0,0,0,3.63860368728638,0,0,1,51,0,1,0,0,0,0,0,0,0,753,0
0,0,0,4.16974687576294,0,0,1,20,0,1,0,0,0,0,0,0,0,7,0
0,0,0,3.63860368728638,0,0,1,17,0,1,0,0,0,1,0,0,0,74,0
1,0,1,3.79192328453064,0,59,0,61,0,1,0,0,0,0,1,0,0,12,0
0,0,0,3.63312792778015,0,0,1,70,0,0,1,0,0,0,0,0,1,74,0
0,1,1,1.64544832706451,1,43,0,18,0,1,0,0,0,0,0,0,0,39,0
1,1,1,0.17248460650444,1,39,0,55,0,1,0,0,0,0,0,0,0,19,0
0,0,1,2.60369610786438,1,40,0,18,0,0,0,0,1,0,0,0,0,87,1
0,0,0,3.79739904403687,0,0,1,38,0,1,0,0,0,0,0,0,0,87,1
1,0,0,4.24640655517578,0,25,0,36,0,1,0,0,0,0,0,0,0,120,0
1,1,1,1.64818620681763,1,0,1,17,0,1,0,0,1,0,0,0,0,87,1
0,0,1,3.67145800590515,0,50,0,43,0,1,0,0,0,0,0,0,0,807,0
1,0,0,4.35044479370117,0,0,1,38,0,1,0,0,0,0,0,0,0,544,0
1,0,1,2.56262826919556,1,65,0,37,0,1,0,0,0,0,0,0,0,313,0
0,1,1,0.17248460650444,1,0,1,0,1,0,0,0,0,1,0,0,0,865,0
0,0,0,2.38740587234497,1,0,1,58,0,0,1,0,0,0,1,0,0,64,0
0,0,0,3.83299112319946,0,55,0,23,0,0,0,0,1,0,0,0,0,64,0
1,1,1,0.440793991088867,1,0,1,0,1,0,0,0,0,1,0,0,0,705,0
0,1,1,4.22997951507568,0,67,0,46,0,1,0,0,0,0,0,0,0,328,0
0,1,1,0.837782323360443,1,25,0,68,0,1,0,0,0,0,0,0,0,64,0
0,1,1,0.17248460650444,1,39,0,62,0,1,0,0,0,0,0,0,0,338,0
0,1,0,0.501026690006256,1,31,0,0,1,1,0,0,0,1,0,0,0,43,0
0,0,0,1.66735112667084,1,70,0,53,0,1,0,0,0,0,0,0,0,34,0
0,0,0,2.31074595451355,1,0,1,45,0,1,0,0,0,0,0,0,0,224,0
1,1,1,3.84120464324951,0,0,1,45,0,1,0,0,1,0,0,0,0,87,1
1,0,1,2.6776180267334,1,0,1,50,0,0,1,0,0,1,0,0,0,64,0
1,0,1,0.993839859962463,1,0,1,71,0,1,0,0,0,0,0,0,0,64,0
1,1,0,3.68514704704285,0,43,0,35,0,1,0,0,0,1,0,0,0,13,0
1,0,0,3.70704984664917,0,0,1,17,0,1,0,0,1,0,0,0,0,87,1
1,0,0,3.63586592674255,0,41,0,60,0,1,0,0,0,0,0,0,0,99,0
1,0,0,3.87405896186829,0,0,1,41,0,1,0,0,1,0,0,0,0,87,1
1,0,0,0.435318261384964,1,51,0,0,1,1,0,0,1,0,0,0,0,526,0
0,0,1,0.183436006307602,1,0,1,0,1,0,1,0,0,0,0,0,1,887,0
0,0,0,3.72347712516785,0,0,1,27,0,1,0,0,1,0,0,0,0,87,1
1,0,1,0.191649556159973,1,0,1,0,1,0,0,0,0,1,0,0,0,64,0
1,0,1,0.780287444591522,1,0,1,49,0,1,0,0,0,1,0,0,0,199,0
0,1,1,3.92607808113098,0,0,1,46,0,1,0,0,0,0,0,1,0,481,0
1,0,1,3.9644079208374,0,41,0,19,0,1,0,0,1,0,0,0,0,87,1
0,0,0,4.23271751403809,0,0,1,20,0,0,0,0,1,0,0,0,0,87,1
1,0,1,1.39630389213562,1,28,0,40,0,1,0,0,0,0,1,0,0,87,1
1,0,1,3.79192328453064,0,0,1,13,0,1,0,0,1,0,0,0,0,87,1
1,1,1,3.66324424743652,0,0,1,17,0,1,0,0,1,0,0,0,0,87,1
1,1,1,0.191649556159973,1,42,0,34,0,1,0,0,1,0,0,0,0,87,1
0,0,1,4.04380559921265,0,0,1,35,0,0,0,0,1,0,0,0,0,87,1
0,0,1,0.169746741652489,1,0,1,0,1,0,1,0,1,0,0,0,0,87,1
0,0,1,3.72621488571167,0,59,0,41,0,1,0,0,0,1,0,0,0,119,0
1,0,0,3.87953448295593,0,0,1,27,0,0,0,0,1,0,0,0,0,87,1
0,0,1,0.125941142439842,1,0,1,33,0,0,1,0,1,0,0,0,0,12,0
0,0,0,0.17248460650444,1,25,0,39,0,1,0,0,0,1,0,0,0,12,0
0,1,1,3.95893216133118,0,0,1,30,0,1,0,0,1,0,0,0,0,87,1
0,1,1,3.88774800300598,0,0,1,39,0,1,0,0,1,0,0,0,0,87,1
1,1,1,4.19164943695068,0,36,0,47,0,1,0,0,0,0,0,0,0,407,0
1,0,0,3.82751536369324,0,51,0,0,1,0,0,0,1,0,0,0,0,87,1
0,0,0,4.23271751403809,0,58,0,45,0,0,0,0,1,0,0,0,0,87,1
0,0,0,5.24024629592896,0,0,1,23,0,1,0,1,0,0,0,0,0,74,0
0,0,0,0.536618769168854,1,65,0,17,0,1,0,0,0,0,0,0,0,125,0
0,1,1,0.654346346855164,1,67,0,47,0,1,0,0,0,0,0,0,0,376,0
1,0,0,3.58658456802368,1,53,0,82,0,1,0,0,0,0,0,0,0,830,0
1,0,0,4.63518142700195,0,0,1,45,0,1,0,0,0,0,0,0,0,54,0
0,1,1,0.17248460650444,1,71,0,58,0,1,0,0,0,0,0,0,0,789,0
1,0,1,1.34154689311981,1,74,0,47,0,1,0,0,0,0,0,0,0,118,0
0,0,0,4.19712543487549,0,70,0,73,0,1,0,0,0,0,0,0,0,105,0
0,0,1,4.30390167236328,0,70,0,54,0,1,0,0,0,0,0,0,0,118,0
1,0,0,3.59479808807373,1,26,0,39,0,1,0,1,0,0,0,0,0,132,0
0,1,1,3.67419576644897,0,49,0,39,0,1,0,0,0,0,0,0,0,842,0
1,0,0,3.6796715259552,0,0,1,61,0,1,0,0,0,0,0,0,0,165,0
1,1,1,0.17248460650444,1,50,0,62,0,1,0,0,0,0,0,0,0,312,0
1,1,1,3.61943864822388,0,0,1,48,0,0,0,1,0,0,0,0,0,35,0
1,1,1,3.6440794467926,0,57,0,61,0,1,0,0,0,0,0,0,0,279,0
0,0,1,3.58658456802368,1,66,0,112,0,1,0,0,0,1,0,0,0,753,0
1,1,1,1.89733064174652,1,48,0,47,0,0,0,0,0,1,0,0,0,287,0
0,0,1,1.89733064174652,1,0,1,53,0,1,0,0,0,0,0,0,0,287,0
1,1,1,0.17248460650444,1,46,0,76,0,1,0,0,0,0,0,0,0,99,0
