GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38
8600000US49104,49104,ZCTA5 49104,0,78,,,,,,,,,,,,,,,,,,,,,,,,,,,0,78,,,,,,,,,,,,,,,,,,,,,,,,,,,512,110,3579,1237,40.2,13.8,5091,2292,28.3,12.7,2535,2115,1.2,2.1,,,17.4,5.6,2622,1819,0.0,4.8,,,6.4,4.6,1521,721,6.4,6.2,3261,3614,17.2,11.0,1945,624,33.8,12.7,5742,2263,,,,,,,,,18.8,,,
8600000US49106,49106,ZCTA5 49106,1914,164,75561,12673,72.2,4.6,83411,15505,34.4,6.7,11274,5257,38.7,4.5,15903,1504,0.9,1.1,18089,12922,3.5,2.2,3952,2038,21.2,4.9,19782,6747,1280,125,87086,16952,18.3,5.9,48035,18674,22.1,6.8,62661,19775,38.6,7.3,122648,40301,8.0,4.0,55746,11623,13.0,4.6,97139,17721,0.0,1.9,,,4965,364,30109,4986,97.1,2.0,30250,5138,0.5,0.7,,,0.0,0.5,,,0.7,0.8,19112,17709,0.0,0.5,,,0.0,0.5,,,1.7,1.4,,,0.1,0.2,,,96.9,2.0,30258,5146,18.5,,,,15.9,,,,17.6,,,
8600000US49107,49107,ZCTA5 49107,4130,205,53840,3065,72.3,3.8,57838,3433,23.1,3.6,5417,1740,34.9,3.5,17247,1487,5.0,2.7,8351,1626,2.1,1.2,3020,1773,18.9,3.3,14757,2175,2911,167,62500,4009,15.9,3.8,28383,5871,25.8,4.9,52468,7581,39.0,5.0,81167,6475,10.1,3.7,52065,12812,7.2,2.6,85419,9362,2.0,1.6,69158,27127,10331,319,22196,1471,89.6,2.9,23261,1513,6.8,2.8,12838,6331,0.3,0.3,14722,7860,0.5,0.4,14638,3775,0.0,0.2,,,0.8,0.8,18087,13910,2.0,1.3,10904,14107,2.4,1.4,23070,10984,88.1,3.0,23217,1516,19.4,,,,20.6,,,,17.2,,,
8600000US49111,49111,ZCTA5 49111,1135,99,56810,4309,80.4,4.8,53374,5263,23.7,4.6,7077,2091,36.4,4.7,18858,2008,2.5,2.3,6850,2251,2.8,2.2,1966,1989,23.2,4.8,15756,3583,917,93,62165,5224,11.3,3.3,,,30.4,6.4,,,38.6,6.7,,,2.6,2.0,,,16.8,4.8,,,0.2,0.4,,,3616,418,24644,12104,79.7,7.1,20563,1810,6.0,4.1,13047,6730,1.2,1.1,18747,8511,2.6,3.4,19898,3062,0.0,0.7,,,7.2,5.8,84480,169660,3.2,2.3,19262,5912,16.0,8.3,44275,71351,74.3,7.5,21211,1884,22.6,,,,22.0,,,,20.4,,,
8600000US49112,49112,ZCTA5 49112,3764,165,62491,3493,76.5,3.5,63473,4233,29.3,3.4,8098,2607,33.5,3.0,18569,1612,4.2,2.1,9401,1246,3.9,1.5,2835,1169,19.3,2.7,19177,3828,2794,147,68886,4417,16.9,3.6,36755,6599,27.1,4.6,48633,6661,36.5,4.8,90132,6333,7.1,2.2,66668,11678,10.3,2.7,104090,15570,2.1,1.3,55031,20944,10076,228,23395,1473,93.9,2.1,23767,1586,1.0,0.7,15477,10920,0.1,0.1,22627,15029,1.4,0.8,32099,14545,0.0,0.2,,,1.2,1.3,5848,11101,2.4,1.0,15972,8396,2.0,1.7,4767,8677,93.4,2.3,23878,1591,19.1,,,,19.7,,,,14.4,,,
8600000US49113,49113,ZCTA5 49113,711,65,58660,5019,77.1,4.4,58662,4824,24.8,5.0,9023,4688,33.8,5.3,16786,1684,5.5,3.8,11962,4928,0.3,0.4,3050,87,24.2,4.3,15644,5872,509,53,64125,5413,17.5,5.0,46207,17551,27.7,7.0,49898,10884,35.8,6.5,73652,5752,6.7,4.5,57059,18505,9.4,4.1,106408,25632,2.9,2.1,69273,30969,1821,171,23502,1859,98.1,1.6,23700,1881,0.0,1.4,,,0.0,1.4,,,0.0,1.4,,,0.0,1.4,,,0.5,0.8,,,1.4,1.4,16135,8211,0.5,0.8,,,98.1,1.6,23700,1881,15.9,,,,15.7,,,,11.7,,,
8600000US49115,49115,ZCTA5 49115,82,52,59089,58724,34.1,31.3,10679,10185,75.6,24.8,12258,11995,59.8,33.4,14641,7404,9.8,14.9,7938,12,0.0,25.8,,,56.1,32.5,65333,80876,40,35,98373,109638,30.0,41.4,,,30.0,36.6,,,40.0,47.6,,,0.0,41.1,,,0.0,41.1,,,0.0,41.1,,,127,80,38372,35901,100.0,17.8,38372,35901,0.0,17.8,,,0.0,17.8,,,0.0,17.8,,,0.0,17.8,,,0.0,17.8,,,0.0,17.8,,,0.0,17.8,,,100.0,17.8,38372,35901,4.9,,,,10.0,,,,3.1,,,
8600000US49116,49116,ZCTA5 49116,143,61,80536,37688,66.4,27.6,90472,57737,23.8,19.7,1559,1834,59.4,25.0,16160,6199,17.5,25.6,6816,7,0.0,16.0,,,42.0,27.0,22082,4406,96,59,100676,53935,38.5,33.6,,,12.5,19.4,,,37.5,30.0,,,11.5,18.1,,,0.0,22.7,,,0.0,22.7,,,270,134,42486,14433,80.7,27.3,45217,17211,19.3,27.3,,,0.0,8.8,,,0.0,8.8,,,0.0,8.8,,,0.0,8.8,,,0.0,8.8,,,0.0,8.8,,,80.7,27.3,45217,17211,17.5,,,,26.0,,,,21.1,,,
8600000US49117,49117,ZCTA5 49117,1649,146,81845,9616,70.7,5.0,75958,11830,38.2,5.0,23373,6238,49.4,5.3,18278,1800,1.8,1.2,5920,1470,0.1,0.2,2250,88,29.9,4.9,24915,8515,1031,116,94420,13559,16.0,4.1,68997,14719,39.3,7.8,85685,18730,27.5,8.7,131447,40441,7.7,3.8,67418,30422,8.1,3.2,94570,38290,1.4,1.2,47057,22293,3719,349,37389,5039,97.8,1.4,37898,5127,0.2,0.4,,,0.4,0.4,,,0.2,0.2,,,0.0,0.7,,,0.5,0.8,14933,8507,0.9,1.1,,,1.7,1.5,9378,5444,96.5,1.8,38291,5212,26.5,,,,27.9,,,,19.2,,,
8600000US49119,49119,ZCTA5 49119,44,29,41911,14742,56.8,37.0,42140,18255,15.9,25.9,12414,29,43.2,37.0,22074,9949,0.0,39.2,,,0.0,39.2,,,43.2,37.0,14389,8305,26,28,55285,9680,26.9,42.9,,,19.2,38.3,,,0.0,51.0,,,0.0,51.0,,,0.0,51.0,,,53.8,53.8,,,115,101,18648,5000,100.0,19.4,18648,5000,0.0,19.4,,,0.0,19.4,,,0.0,19.4,,,0.0,19.4,,,0.0,19.4,,,0.0,19.4,,,0.0,19.4,,,100.0,19.4,18648,5000,13.6,,,,0.0,,,,5.8,,,
8600000US49120,49120,ZCTA5 49120,14407,335,54758,1904,74.8,1.6,56755,2762,21.7,1.7,6913,1144,34.7,1.6,16120,627,5.4,1.0,8172,1115,3.2,0.8,2456,703,22.2,1.3,14821,1951,9918,311,64708,2857,15.5,1.9,34381,4826,33.6,2.6,48323,3956,34.4,2.2,87856,5717,8.1,1.4,65850,6244,7.0,1.3,94159,6594,1.4,0.5,69052,16282,37186,465,21800,874,88.4,1.3,22933,933,6.1,1.0,14149,1941,0.3,0.2,15183,8966,0.6,0.3,10336,4772,0.0,0.1,,,1.1,0.6,13372,5229,3.4,0.6,11635,2874,4.2,0.9,12250,2007,85.9,1.5,23254,973,20.1,,,,20.5,,,,15.7,,,
8600000US49125,49125,ZCTA5 49125,948,145,78403,30728,65.6,9.9,83641,43287,27.2,8.8,9493,5220,46.8,9.5,19772,2970,5.4,5.2,9947,2350,1.6,1.9,2527,3765,34.5,8.8,23478,8636,647,122,67813,11783,24.1,10.0,,,35.1,11.3,,,21.2,9.0,,,8.2,5.5,,,11.3,7.4,,,0.2,1.0,,,2098,402,36027,15121,97.8,2.6,36789,15323,0.0,1.2,,,0.5,0.8,,,0.0,1.2,,,0.0,1.2,,,0.7,1.1,,,1.0,1.5,,,2.7,3.2,11280,15345,96.8,3.2,36887,15506,13.1,,,,12.7,,,,9.7,,,
