hsid			seniors	lowgradelevel													algebra3	math4	precalculus	calculus	probability	trigonometry	analytical	solidgeo								
244832	1	600	100	7	12	6	75	70	42	1	3	3	2	3	0	4	1	1	1	0	0	0	0	0	0	0	NA	1	2	0	NA	2
244835	1	1320	220	7	12	6	69	73	12	1	3	3	2	3	2	4	1	0	1	1	0	1	0	0	0	1	2	1	2	0	NA	2
244837	1	1900	475	9	12	4	30	12.6	12	1	3	3	2	3	0	4	1	1	1	1	1	0	0	0	0	1	4	1	4	1	4	4
244840	1	1844	NA	NA	NA	NA	99.7	33.7	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	NA
244845	1	1040	260	9	12	4	74	62	12	1	3	3	2	3	0	4	0	1	1	1	0	1	1	1	1	1	2	1	2	0	NA	2
247854	4	1100	275	9	12	4	4	18.18	18	1	3	3	2	3	0	4	0	0	1	1	1	0	0	0	0	1	2	1	2	0	NA	2
248861	3	1650	412.5	9	12	4	10	30	12	1	3	3	2	3	0	4	0	1	1	1	1	1	1	0	1	1	5	1	5	1	5	5
249864	3	1500	375	9	12	4	8.67	3.67	12	1	3	3	2	3	0	4	0	0	1	1	0	1	0	1	1	1	2	1	4	1	4	4
249866	3	1685	421.25	9	12	4	19	21	12	1	3	3	2	3	0	4	0	1	1	1	1	0	0	1	0	1	2	1	4	1	4	4
249876	3	1000	250	9	12	4	3.5	18.7	3	1	NA	NA	NA	NA	NA	NA	0	0	1	1	0	1	0	0	1	0	NA	1	2	1	2	2
250882	4	1450	362.5	9	12	4	20	45	12	1	3	3	2	3	0	4	0	0	1	1	0	0	0	0	0	1	2	1	3	0	NA	3
252886	4	333	83.25	9	12	4	15.92	21.4	28	1	3	3	2	3	1	4	1	1	1	0	0	0	0	0	0	0	NA	1	2	0	NA	2
255893	4	408	58.2857142857143	6	12	7	0	36.7	18	0	3	3	2	3	1	4	1	0	1	1	0	0	0	0	0	0	NA	1	2	0	NA	2
257901	4	983	245.75	9	12	4	0.1	15.7	4	1	3	3	2	3	1	4	0	0	1	1	0	1	0	0	0	1	2	1	2	0	NA	2
